StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,mortality_HRI,worker_HRI_cases
04,Arizona,2011,46710,40,113,708,862,201,1924,1436,935,532,283,15,1,2,76,255,158,492,1405,895,516,271,117,90
04,Arizona,2012,47796,27,117,744,813,230,1931,1486,957,540,224,15,0,6,92,236,130,464,1460,931,523,214,109,110
04,Arizona,2013,48504,37,98,694,762,217,1808,1191,780,459,183,15,5,1,74,249,133,462,1166,766,443,168,92,100
04,Arizona,2014,50036,33,99,631,746,219,1728,1158,730,406,132,15,1,1,87,195,122,406,1121,713,387,107,69,70
04,Arizona,2015,51473,24,86,745,854,269,1978,1294,807,493,230,15,3,2,77,269,136,487,1260,788,480,210,93,110
04,Arizona,2016,53481,27,102,918,1092,344,2483,1290,823,474,252,15,0,3,101,258,165,527,1252,794,456,242,177,110
04,Arizona,2017,56508,29,110,922,1182,391,2634,1346,846,534,255,15,0,2,114,345,192,653,1310,829,521,245,221,140
04,Arizona,2018,59079,30,104,907,1188,363,2592,1442,928,547,234,15,2,2,116,332,212,664,1417,903,529,218,187,80
04,Arizona,2019,62027,35,103,883,1179,372,2572,1265,833,480,252,15,2,2,101,323,210,638,1235,809,468,239,212,120
04,Arizona,2020,64652,10,41,644,995,381,2071,1713,1175,706,351,15,0,5,135,415,243,798,1690,1150,686,333,373,170
06,California,2011,57275,104,337,1348,1495,577,3861,2448,1504,695,199,58,5,9,72,198,132,416,2381,1437,654,175,26,250
06,California,2012,58322,149,414,1594,1920,882,4959,3403,2285,1225,493,58,10,11,78,251,228,578,3292,2200,1146,448,61,250
06,California,2013,60185,151,408,1615,2031,891,5096,3042,1993,1099,455,58,5,9,89,269,198,570,2941,1908,1028,424,66,250
06,California,2014,61927,153,437,1603,2025,875,5093,3811,2458,1349,501,58,5,8,93,279,202,587,3702,2368,1278,437,47,380
06,California,2015,64483,159,360,1757,2091,942,5309,3481,2281,1239,544,58,4,6,97,246,245,598,3390,2194,1165,495,49,270
06,California,2016,67715,86,340,1717,2141,1090,5374,3086,2041,1144,436,58,3,4,112,325,312,756,3004,1961,1094,393,67,220
06,California,2017,71785,128,519,2413,3174,1853,8087,3385,2233,1377,686,58,2,11,155,549,586,1303,3293,2142,1332,641,98,480
06,California,2018,75250,94,353,1836,2535,1458,6276,3326,2228,1392,733,58,3,3,130,507,484,1127,3232,2151,1327,697,98,280
06,California,2019,80423,77,336,1557,2232,1183,5385,2536,1563,767,305,58,5,9,96,349,337,796,2447,1504,703,281,57,400
06,California,2020,83001,29,88,1436,2345,1181,5079,4080,2789,1734,828,58,6,8,138,442,407,1001,3978,2699,1684,770,128,240
08,Colorado,2013,58942,17,39,121,96,29,302,1521,651,139,19,64,0,0,11,12,19,42,1408,574,104,4,Suppressed,No Data
08,Colorado,2014,61324,8,18,95,87,29,237,857,306,53,0,64,0,0,2,7,6,15,751,250,24,0,Suppressed,No Data
08,Colorado,2015,63945,9,36,130,132,48,355,1137,354,22,0,64,1,0,5,23,15,44,973,259,4,0,Suppressed,No Data
