StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties.x,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,num_counties.y,mortality_HRI,worker_HRI_cases
04,Arizona,2011,46710,40,113,708,862,201,1924,95.73333333333333,62.333333333333336,35.46666666666667,18.866666666666667,15,1,2,76,255,158,492,93.66666666666667,59.666666666666664,34.4,18.066666666666666,15,117,90
04,Arizona,2012,47796,27,117,744,813,230,1931,99.06666666666666,63.8,36,14.933333333333334,15,0,6,92,236,130,464,97.33333333333333,62.06666666666667,34.86666666666667,14.266666666666667,15,109,110
04,Arizona,2013,48504,37,98,694,762,217,1808,79.4,52,30.6,12.2,15,5,1,74,249,133,462,77.73333333333333,51.06666666666667,29.533333333333335,11.2,15,92,100
04,Arizona,2014,50036,33,99,631,746,219,1728,77.2,48.666666666666664,27.066666666666666,8.8,15,1,1,87,195,122,406,74.73333333333333,47.53333333333333,25.8,7.133333333333334,15,69,70
04,Arizona,2015,51473,24,86,745,854,269,1978,86.26666666666667,53.8,32.86666666666667,15.333333333333334,15,3,2,77,269,136,487,84,52.53333333333333,32,14,15,93,110
04,Arizona,2016,53481,27,102,918,1092,344,2483,86,54.86666666666667,31.6,16.8,15,0,3,101,258,165,527,83.46666666666667,52.93333333333333,30.4,16.133333333333333,15,177,110
04,Arizona,2017,56508,29,110,922,1182,391,2634,89.73333333333333,56.4,35.6,17,15,0,2,114,345,192,653,87.33333333333333,55.266666666666666,34.733333333333334,16.333333333333332,15,221,140
04,Arizona,2018,59079,30,104,907,1188,363,2592,96.13333333333334,61.86666666666667,36.46666666666667,15.6,15,2,2,116,332,212,664,94.46666666666667,60.2,35.266666666666666,14.533333333333333,15,187,80
04,Arizona,2019,62027,35,103,883,1179,372,2572,84.33333333333333,55.53333333333333,32,16.8,15,2,2,101,323,210,638,82.33333333333333,53.93333333333333,31.2,15.933333333333334,15,212,120
04,Arizona,2020,64652,10,41,644,995,381,2071,114.2,78.33333333333333,47.06666666666667,23.4,15,0,5,135,415,243,798,112.66666666666667,76.66666666666667,45.733333333333334,22.2,15,373,170
06,California,2011,57275,104,337,1348,1495,577,3861,42.206896551724135,25.93103448275862,11.982758620689655,3.4310344827586206,58,5,9,72,198,132,416,41.05172413793103,24.775862068965516,11.275862068965518,3.0172413793103448,58,26,250
06,California,2012,58322,149,414,1594,1920,882,4959,58.672413793103445,39.39655172413793,21.120689655172413,8.5,58,10,11,78,251,228,578,56.758620689655174,37.93103448275862,19.75862068965517,7.724137931034483,58,61,250
06,California,2013,60185,151,408,1615,2031,891,5096,52.44827586206897,34.36206896551724,18.948275862068964,7.844827586206897,58,5,9,89,269,198,570,50.706896551724135,32.89655172413793,17.724137931034484,7.310344827586207,58,66,250
06,California,2014,61927,153,437,1603,2025,875,5093,65.70689655172414,42.37931034482759,23.25862068965517,8.637931034482758,58,5,8,93,279,202,587,63.827586206896555,40.827586206896555,22.03448275862069,7.5344827586206895,58,47,380
06,California,2015,64483,159,360,1757,2091,942,5309,60.01724137931034,39.327586206896555,21.362068965517242,9.379310344827585,58,4,6,97,246,245,598,58.44827586206897,37.827586206896555,20.086206896551722,8.53448275862069,58,49,270
06,California,2016,67715,86,340,1717,2141,1090,5374,53.206896551724135,35.189655172413794,19.724137931034484,7.517241379310345,58,3,4,112,325,312,756,51.793103448275865,33.810344827586206,18.862068965517242,6.775862068965517,58,67,220
06,California,2017,71785,128,519,2413,3174,1853,8087,58.36206896551724,38.5,23.74137931034483,11.827586206896552,58,2,11,155,549,586,1303,56.775862068965516,36.93103448275862,22.96551724137931,11.051724137931034,58,98,480
06,California,2018,75250,94,353,1836,2535,1458,6276,57.3448275862069,38.41379310344828,24,12.637931034482758,58,3,3,130,507,484,1127,55.724137931034484,37.08620689655172,22.879310344827587,12.017241379310345,58,98,280
06,California,2019,80423,77,336,1557,2232,1183,5385,43.724137931034484,26.948275862068964,13.224137931034482,5.258620689655173,58,5,9,96,349,337,796,42.189655172413794,25.93103448275862,12.120689655172415,4.844827586206897,58,57,400
